,secs,meas
0,0.0,5.45
1,0.015625,10.24
2,0.03125,6.32
3,0.046875,-4.0
4,0.0625,-16.15
5,0.078125,-25.77
6,0.09375,-30.77
7,0.109375,-31.93
8,0.125,-31.68
9,0.140625,-32.2
10,0.15625,-34.07
11,0.171875,-36.23
12,0.1875,-37.09
13,0.203125,-35.83
14,0.21875,-33.0
15,0.234375,-30.27
16,0.25,-29.59
17,0.265625,-32.18
18,0.28125,-38.26
19,0.296875,-47.09
20,0.3125,-57.47
21,0.328125,-68.17
22,0.34375,-78.11
23,0.359375,-86.45
24,0.375,-92.51
25,0.390625,-95.7
26,0.40625,-95.52
27,0.421875,-91.59
28,0.4375,-83.72
29,0.453125,-71.96
30,0.46875,-56.75
31,0.484375,-38.99
32,0.5,-20.14
33,0.515625,-2.06
34,0.53125,13.25
35,0.546875,24.17
36,0.5625,29.93
37,0.578125,30.9
38,0.59375,28.45
39,0.609375,24.53
40,0.625,21.04
41,0.640625,19.14
42,0.65625,19.0
43,0.671875,19.96
44,0.6875,21.04
45,0.703125,21.56
46,0.71875,21.49
47,0.734375,21.27
48,0.75,21.42
49,0.765625,21.98
50,0.78125,22.29
51,0.796875,21.27
52,0.8125,17.99
53,0.828125,12.3
54,0.84375,5.01
55,0.859375,-2.27
56,0.875,-7.78
57,0.890625,-10.22
58,0.90625,-9.14
59,0.921875,-4.94
60,0.9375,1.43
61,0.953125,8.81
62,0.96875,16.08
63,0.984375,22.23
64,1.0,26.44
65,1.015625,28.23
66,1.03125,27.59
67,1.046875,25.04
68,1.0625,21.45
69,1.078125,17.78
70,1.09375,14.78
71,1.109375,12.82
72,1.125,11.94
73,1.140625,11.93
74,1.15625,12.45
75,1.171875,13.07
76,1.1875,13.16
77,1.203125,12.02
78,1.21875,9.01
79,1.234375,3.92
80,1.25,-2.83
81,1.265625,-10.29
82,1.28125,-17.45
83,1.296875,-23.87
84,1.3125,-29.91
85,1.328125,-36.64
86,1.34375,-45.19
87,1.359375,-55.86
88,1.375,-67.8
89,1.390625,-79.06
90,1.40625,-87.34
91,1.421875,-90.94
92,1.4375,-89.45
93,1.453125,-83.65
94,1.46875,-75.02
95,1.484375,-64.95
96,1.5,-54.05
97,1.515625,-42.09
98,1.53125,-28.42
99,1.546875,-12.58
100,1.5625,5.09
101,1.578125,23.18
102,1.59375,39.58
103,1.609375,52.29
104,1.625,60.16
105,1.640625,63.52
106,1.65625,64.09
107,1.671875,64.02
108,1.6875,65.14
109,1.703125,68.26
110,1.71875,73.18
111,1.734375,79.34
112,1.75,86.12
113,1.765625,92.63
114,1.78125,97.05
115,1.796875,96.5
116,1.8125,88.09
117,1.828125,70.68
118,1.84375,46.24
119,1.859375,19.64
120,1.875,-3.66
