,secs,meas
0,0.0,-77.96
1,0.015625,-75.12
2,0.03125,-69.04
3,0.046875,-60.31
4,0.0625,-49.44
5,0.078125,-36.91
6,0.09375,-23.45
7,0.109375,-10.14
8,0.125,1.68
9,0.140625,10.94
10,0.15625,17.17
11,0.171875,20.75
12,0.1875,22.68
13,0.203125,24.05
14,0.21875,25.65
15,0.234375,27.65
16,0.25,29.79
17,0.265625,31.63
18,0.28125,32.87
19,0.296875,33.42
20,0.3125,33.3
21,0.328125,32.55
22,0.34375,31.1
23,0.359375,28.87
24,0.375,25.8
25,0.390625,21.97
26,0.40625,17.4
27,0.421875,11.97
28,0.4375,5.29
29,0.453125,-3.26
30,0.46875,-14.26
31,0.484375,-28.05
32,0.5,-44.54
33,0.515625,-63.08
34,0.53125,-82.42
35,0.546875,-100.76
36,0.5625,-115.71
37,0.578125,-124.64
38,0.59375,-125.28
39,0.609375,-116.45
40,0.625,-98.69
41,0.640625,-74.34
42,0.65625,-47.06
43,0.671875,-20.69
44,0.6875,1.81
45,0.703125,19.1
46,0.71875,31.46
47,0.734375,40.22
48,0.75,47.03
49,0.765625,53.23
50,0.78125,59.51
51,0.796875,66.01
52,0.8125,72.51
53,0.828125,78.65
54,0.84375,84.19
55,0.859375,89.07
56,0.875,93.38
57,0.890625,97.28
58,0.90625,100.91
59,0.921875,104.2
60,0.9375,106.76
61,0.953125,107.92
62,0.96875,106.87
63,0.984375,102.93
64,1.0,95.87
65,1.015625,85.92
66,1.03125,73.92
67,1.046875,61.0
68,1.0625,48.42
69,1.078125,37.26
70,1.09375,28.19
71,1.109375,21.36
72,1.125,16.41
73,1.140625,12.58
74,1.15625,8.89
75,1.171875,4.4
76,1.1875,-1.53
77,1.203125,-9.14
78,1.21875,-18.14
79,1.234375,-27.83
80,1.25,-37.27
81,1.265625,-45.56
82,1.28125,-52.06
83,1.296875,-56.54
84,1.3125,-59.19
85,1.328125,-60.54
86,1.34375,-61.27
87,1.359375,-61.98
88,1.375,-63.05
89,1.390625,-64.56
90,1.40625,-66.26
91,1.421875,-67.72
92,1.4375,-68.54
93,1.453125,-68.6
94,1.46875,-68.11
95,1.484375,-67.63
96,1.5,-67.91
97,1.515625,-69.65
98,1.53125,-73.37
99,1.546875,-79.2
100,1.5625,-86.79
101,1.578125,-95.2
102,1.59375,-102.94
103,1.609375,-108.27
104,1.625,-109.71
105,1.640625,-106.62
106,1.65625,-99.47
107,1.671875,-89.82
108,1.6875,-79.56
109,1.703125,-70.19
110,1.71875,-62.13
111,1.734375,-54.6
112,1.75,-46.09
113,1.765625,-35.1
114,1.78125,-20.88
115,1.796875,-3.71
116,1.8125,15.15
117,1.828125,33.97
118,1.84375,50.98
119,1.859375,64.86
120,1.875,74.93
121,1.890625,81.11
122,1.90625,83.84
123,1.921875,83.82
124,1.9375,81.83
125,1.953125,78.65
126,1.96875,74.99
127,1.984375,71.47
128,2.0,68.45
129,2.015625,66.02
130,2.03125,63.83
131,2.046875,61.24
132,2.0625,57.59
133,2.078125,52.57
134,2.09375,46.49
135,2.109375,40.26
136,2.125,35.08
137,2.140625,31.9
138,2.15625,31.05
139,2.171875,32.0
140,2.1875,33.62
141,2.203125,34.55
142,2.21875,33.74
143,2.234375,30.81
144,2.25,26.05
145,2.265625,20.27
146,2.28125,14.35
147,2.296875,8.91
148,2.3125,4.08
149,2.328125,-0.47
150,2.34375,-5.32
151,2.359375,-11.0
152,2.375,-17.62
153,2.390625,-24.72
154,2.40625,-31.18
155,2.421875,-35.39
156,2.4375,-35.65
157,2.453125,-30.75
158,2.46875,-20.51
159,2.484375,-5.99
160,2.5,10.61
161,2.515625,26.62
162,2.53125,39.57
163,2.546875,47.87
164,2.5625,51.08
165,2.578125,49.7
166,2.59375,44.89
167,2.609375,38.01
168,2.625,30.38
169,2.640625,23.13
170,2.65625,17.14
171,2.671875,12.96
172,2.6875,10.8
173,2.703125,10.56
174,2.71875,11.89
175,2.734375,14.29
176,2.75,17.15
177,2.765625,19.88
178,2.78125,21.92
179,2.796875,22.94
180,2.8125,22.94
181,2.828125,22.33
182,2.84375,21.74
183,2.859375,21.73
184,2.875,22.57
185,2.890625,24.12
186,2.90625,25.95
187,2.921875,27.69
188,2.9375,29.19
189,2.953125,30.46
190,2.96875,31.59
191,2.984375,32.52
192,3.0,33.03
193,3.015625,32.96
194,3.03125,32.35
195,3.046875,31.28
196,3.0625,29.61
197,3.078125,26.76
198,3.09375,21.66
199,3.109375,13.17
200,3.125,0.57
201,3.140625,-16.04
202,3.15625,-35.57
203,3.171875,-56.29
204,3.1875,-76.22
205,3.203125,-93.5
206,3.21875,-106.61
207,3.234375,-114.51
208,3.25,-116.81
209,3.265625,-113.86
210,3.28125,-106.81
211,3.296875,-97.32
212,3.3125,-87.02
213,3.328125,-76.97
214,3.34375,-67.36
215,3.359375,-57.69
216,3.375,-47.26
217,3.390625,-35.63
218,3.40625,-22.94
219,3.421875,-9.89
220,3.4375,2.64
221,3.453125,13.76
222,3.46875,22.85
223,3.484375,29.63
224,3.5,34.1
225,3.515625,36.43
226,3.53125,37.01
227,3.546875,36.36
228,3.5625,35.05
229,3.578125,33.67
230,3.59375,32.72
231,3.609375,32.53
232,3.625,33.24
233,3.640625,34.79
234,3.65625,36.86
235,3.671875,38.98
236,3.6875,40.5
237,3.703125,40.8
238,3.71875,39.46
239,3.734375,36.4
240,3.75,31.96
241,3.765625,26.71
242,3.78125,21.31
243,3.796875,16.2
244,3.8125,11.55
245,3.828125,7.24
246,3.84375,2.93
247,3.859375,-1.75
248,3.875,-7.15
249,3.890625,-13.45
250,3.90625,-20.42
251,3.921875,-27.3
252,3.9375,-32.94
253,3.953125,-36.1
254,3.96875,-36.07
255,3.984375,-33.13
256,4.0,-28.68
257,4.015625,-24.74
258,4.03125,-23.15
259,4.046875,-24.73
260,4.0625,-28.84
261,4.078125,-33.68
262,4.09375,-36.94
263,4.109375,-36.66
264,4.125,-31.88
265,4.140625,-22.94
266,4.15625,-11.32
267,4.171875,0.74
268,4.1875,10.92
269,4.203125,17.57
270,4.21875,20.42
271,4.234375,20.8
272,4.25,21.13
273,4.265625,23.88
274,4.28125,30.43
275,4.296875,40.4
276,4.3125,51.71
277,4.328125,61.48
278,4.34375,67.16
279,4.359375,67.37
280,4.375,62.19
281,4.390625,52.79
282,4.40625,40.97
283,4.421875,28.66
284,4.4375,17.64
285,4.453125,9.39
286,4.46875,4.9
287,4.484375,4.53
288,4.5,7.91
289,4.515625,14.09
290,4.53125,21.83
291,4.546875,29.92
292,4.5625,37.38
293,4.578125,43.51
294,4.59375,47.85
295,4.609375,50.13
296,4.625,50.39
297,4.640625,48.94
298,4.65625,46.32
299,4.671875,43.1
300,4.6875,39.5
301,4.703125,35.32
302,4.71875,29.95
303,4.734375,22.67
304,4.75,13.15
305,4.765625,1.72
306,4.78125,-10.5
307,4.796875,-21.78
308,4.8125,-30.34
309,4.828125,-34.88
310,4.84375,-35.11
311,4.859375,-31.79
312,4.875,-26.58
313,4.890625,-21.3
314,4.90625,-17.38
315,4.921875,-15.34
316,4.9375,-14.78
317,4.953125,-14.78
318,4.96875,-14.52
319,4.984375,-13.72
320,5.0,-12.74
321,5.015625,-12.32
322,5.03125,-13.11
323,5.046875,-15.23
324,5.0625,-18.21
325,5.078125,-21.11
326,5.09375,-22.93
327,5.109375,-22.95
328,5.125,-20.91
329,5.140625,-17.04
330,5.15625,-11.88
331,5.171875,-6.06
332,5.1875,-0.19
333,5.203125,5.22
334,5.21875,9.81
335,5.234375,13.28
336,5.25,15.45
337,5.265625,16.19
338,5.28125,15.53
339,5.296875,13.61
340,5.3125,10.7
341,5.328125,7.05
342,5.34375,2.87
343,5.359375,-1.77
344,5.375,-6.85
345,5.390625,-12.36
346,5.40625,-18.31
347,5.421875,-24.59
348,5.4375,-31.05
349,5.453125,-37.31
350,5.46875,-42.8
351,5.484375,-46.78
352,5.5,-48.57
353,5.515625,-47.77
354,5.53125,-44.5
355,5.546875,-39.38
356,5.5625,-33.3
357,5.578125,-27.07
358,5.59375,-21.13
359,5.609375,-15.52
360,5.625,-9.97
361,5.640625,-4.25
362,5.65625,1.71
363,5.671875,7.74
364,5.6875,13.61
365,5.703125,19.1
366,5.71875,24.01
367,5.734375,28.11
368,5.75,31.08
369,5.765625,32.59
370,5.78125,32.46
371,5.796875,30.74
372,5.8125,27.78
373,5.828125,24.09
374,5.84375,20.1
375,5.859375,16.06
376,5.875,12.0
377,5.890625,7.85
378,5.90625,3.55
379,5.921875,-0.86
380,5.9375,-5.33
381,5.953125,-9.79
382,5.96875,-14.19
383,5.984375,-18.47
384,6.0,-22.44
385,6.015625,-25.81
386,6.03125,-28.18
387,6.046875,-29.17
388,6.0625,-28.58
389,6.078125,-26.44
390,6.09375,-23.03
391,6.109375,-18.86
392,6.125,-14.5
393,6.140625,-10.46
394,6.15625,-7.08
395,6.171875,-4.4
396,6.1875,-2.22
397,6.203125,-0.19
398,6.21875,2.0
399,6.234375,4.53
400,6.25,7.37
401,6.265625,10.42
402,6.28125,13.6
403,6.296875,16.92
404,6.3125,20.5
405,6.328125,24.41
406,6.34375,28.6
407,6.359375,32.86
408,6.375,36.88
409,6.390625,40.37
410,6.40625,43.18
411,6.421875,45.3
412,6.4375,46.75
413,6.453125,47.57
414,6.46875,47.78
415,6.484375,47.36
416,6.5,46.39
417,6.515625,44.96
418,6.53125,43.21
419,6.546875,41.21
420,6.5625,38.91
421,6.578125,36.22
422,6.59375,33.08
423,6.609375,29.6
424,6.625,26.02
425,6.640625,22.73
426,6.65625,20.03
427,6.671875,18.1
428,6.6875,16.84
