,secs,meas
0,0.0,-1.98
1,0.015625,-1.51
2,0.03125,-0.69
3,0.046875,0.05
4,0.0625,0.28
5,0.078125,-0.19
6,0.09375,-1.3
7,0.109375,-2.72
8,0.125,-4.04
9,0.140625,-4.93
10,0.15625,-5.3
11,0.171875,-5.27
12,0.1875,-5.13
13,0.203125,-5.19
14,0.21875,-5.68
15,0.234375,-6.64
16,0.25,-7.9
17,0.265625,-9.09
18,0.28125,-9.73
19,0.296875,-9.47
20,0.3125,-8.16
21,0.328125,-5.96
22,0.34375,-3.31
23,0.359375,-0.71
24,0.375,1.43
25,0.390625,2.9
26,0.40625,3.72
27,0.421875,3.99
28,0.4375,3.86
29,0.453125,3.4
30,0.46875,2.67
31,0.484375,1.76
32,0.5,0.87
33,0.515625,0.21
34,0.53125,-0.04
35,0.546875,0.14
36,0.5625,0.55
37,0.578125,0.91
38,0.59375,0.95
39,0.609375,0.53
40,0.625,-0.29
41,0.640625,-1.31
42,0.65625,-2.31
43,0.671875,-3.12
44,0.6875,-3.69
45,0.703125,-4.06
46,0.71875,-4.34
47,0.734375,-4.67
48,0.75,-5.19
49,0.765625,-6.03
50,0.78125,-7.27
51,0.796875,-8.87
52,0.8125,-10.62
53,0.828125,-12.16
54,0.84375,-13.03
55,0.859375,-12.85
56,0.875,-11.42
57,0.890625,-8.91
58,0.90625,-5.78
59,0.921875,-2.69
60,0.9375,-0.25
61,0.953125,1.21
62,0.96875,1.71
63,0.984375,1.56
64,1.0,1.23
65,1.015625,1.03
66,1.03125,1.09
67,1.046875,1.3
68,1.0625,1.41
69,1.078125,1.24
70,1.09375,0.77
71,1.109375,0.13
72,1.125,-0.52
73,1.140625,-1.08
74,1.15625,-1.56
75,1.171875,-2.09
76,1.1875,-2.77
77,1.203125,-3.62
78,1.21875,-4.56
79,1.234375,-5.42
80,1.25,-6.13
81,1.265625,-6.74
82,1.28125,-7.44
83,1.296875,-8.49
84,1.3125,-10.12
85,1.328125,-12.34
86,1.34375,-15.03
87,1.359375,-17.91
88,1.375,-20.67
89,1.390625,-23.06
90,1.40625,-24.87
91,1.421875,-25.93
92,1.4375,-26.13
93,1.453125,-25.45
94,1.46875,-24.03
95,1.484375,-22.2
96,1.5,-20.39
97,1.515625,-19.04
98,1.53125,-18.42
99,1.546875,-18.6
100,1.5625,-19.43
101,1.578125,-20.65
102,1.59375,-22.0
103,1.609375,-23.31
104,1.625,-24.52
105,1.640625,-25.65
